location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241001T0000,16.490528,17.114204,255.37914
20241001T0100,15.170529,12.864649,252.07208
20241001T0200,14.660529,12.641076,250.0169
20241001T0300,14.280529,11.770403,246.57132
20241001T0400,13.950529,12.879752,243.43495
20241001T0500,13.360529,10.315115,240.75117
20241001T0600,13.170529,9.085988,236.30994
20241001T0700,14.160529,16.62249,252.34988
20241001T0800,15.290529,21.67487,265.23636
20241001T0900,16.20053,20.969805,258.11133
20241001T1000,17.030529,20.49156,251.56506
20241001T1100,18.21053,19.130875,250.20113
20241001T1200,14.710529,4.39436,214.99202
20241001T1300,14.780529,5.4119864,176.18593
20241001T1400,14.970529,7.289445,147.09476
20241001T1500,15.280529,8.854829,116.56505
20241001T1600,15.090529,13.905509,111.2505
20241001T1700,14.590529,13.324863,128.41805
20241001T1800,13.970529,17.22742,116.02959
20241001T1900,13.420529,20.304129,127.073074
20241001T2000,13.290529,21.566973,123.42481
20241001T2100,13.470529,23.904108,127.04247
20241001T2200,16.71053,19.930477,200.07153
20241001T2300,16.06053,17.313717,266.42368
20241002T0000,11.8005295,21.322214,348.31064
20241002T0100,11.190529,18.626305,311.08176
20241002T0200,11.260529,16.179987,302.27563
20241002T0300,11.200529,10.799999,306.8699
20241002T0400,11.680529,9.0645685,276.84277
20241002T0500,11.940529,14.917212,278.32565
20241002T0600,11.670529,15.124284,268.63608
20241002T0700,11.730529,18.36353,268.8767
20241002T0800,12.520529,18.228943,260.90973
20241002T0900,13.830529,17.414476,262.875
20241002T1000,14.840529,18.806337,264.5077
20241002T1100,14.860529,18.03237,273.43362
20241002T1200,15.200529,9.36,270.0
20241002T1300,15.590529,11.212135,275.52753
20241002T1400,16.21053,11.367109,280.95407
20241002T1500,16.07053,11.91812,295.0169
20241002T1600,15.410529,11.609651,299.74487
20241002T1700,14.010529,9.449572,310.36456
20241002T1800,13.020529,5.00128,300.25644
20241002T1900,12.610529,2.3051248,218.65982
20241002T2000,11.860529,4.3349743,175.23636
20241002T2100,11.230529,3.096837,144.46231
20241002T2200,10.780529,1.9386592,111.80141
20241002T2300,10.770529,0.71999997,270.0
20241003T0000,10.740529,1.835647,281.30994
20241003T0100,10.240529,2.968636,284.03625
20241003T0200,10.0505295,3.0547013,315.0
20241003T0300,9.980529,2.8799999,360.0
20241003T0400,9.880529,3.096837,35.53766
20241003T0500,9.970529,1.835647,11.309921
20241003T0600,10.040529,2.5455842,8.130096
20241003T0700,10.470529,3.319036,319.3987
20241003T0800,11.120529,5.495161,328.39252
